,Country,Code,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015
0,Finland,FIN,7.769,7.632000000000001,7.468999862670901,7.412999999999999,7.406000000000001
1,Denmark,DNK,7.6,7.555,7.52199983596802,7.526,7.527
2,Norway,NOR,7.553999999999999,7.593999999999999,7.537000179290769,7.497999999999999,7.522
3,Iceland,ISL,7.494,7.495,7.50400018692017,7.501,7.561
4,Netherlands,NLD,7.4879999999999995,7.441,7.3769998550415,7.3389999999999995,7.377999999999999
5,Switzerland,CHE,7.48,7.487,7.49399995803833,7.5089999999999995,7.587000000000001
6,Sweden,SWE,7.343,7.314,7.28399991989136,7.291,7.364
7,New Zealand,NZL,7.307,7.324,7.31400012969971,7.334,7.2860000000000005
8,Canada,CAN,7.278,7.327999999999999,7.31599998474121,7.404,7.4270000000000005
9,Austria,AUT,7.246,7.138999999999999,7.00600004196167,7.119,7.2
10,Australia,AUS,7.228,7.272,7.28399991989136,7.313,7.284
11,Costa Rica,CRI,7.167000000000001,7.072,7.0789999961853,7.087000000000001,7.226
12,Israel,ISR,7.138999999999999,6.814,7.212999820709231,7.267,7.278
13,Luxembourg,LUX,7.09,6.91,6.86299991607666,6.871,6.946000000000001
14,United Kingdom,GBR,7.053999999999999,7.19,6.71400022506714,6.725,6.867000000000001
15,Ireland,IRL,7.021,6.977,6.9770002365112305,6.907,6.94
16,Germany,DEU,6.985,6.965,6.9510002136230495,6.994,6.75
17,Belgium,BEL,6.922999999999999,6.9270000000000005,6.89099979400635,6.928999999999999,6.937
18,United States,USA,6.892,6.886,6.993000030517581,7.104,7.119
19,Czech Republic,CZE,6.852,6.711,6.60900020599365,6.596,6.505
20,United Arab Emirates,ARE,6.825,6.774,6.6479997634887695,6.5729999999999995,6.901
21,Malta,MLT,6.726,6.627000000000001,6.52699995040894,6.4879999999999995,6.3020000000000005
22,Mexico,MEX,6.595,6.4879999999999995,6.57800006866455,6.778,7.187
23,France,FRA,6.5920000000000005,6.489,6.44199991226196,6.478,6.575
24,Taiwan,TWN,6.446000000000001,6.441,,6.379,6.297999999999999
25,Chile,CHL,6.444,6.476,6.65199995040894,6.705,6.67
26,Guatemala,GTM,6.436,6.382000000000001,6.4539999961853,6.324,6.122999999999999
27,Saudi Arabia,SAU,6.375,6.371,6.343999862670901,6.379,6.4110000000000005
28,Qatar,QAT,6.374,6.374,6.375,6.375,6.611000000000001
29,Spain,ESP,6.354,6.31,6.40299987792969,6.361000000000001,6.329
30,Panama,PAN,6.321000000000001,6.43,6.4520001411438,6.7010000000000005,6.7860000000000005
31,Brazil,BRA,6.3,6.419,6.6350002288818395,6.952000000000001,6.983
32,Uruguay,URY,6.292999999999999,6.379,6.4539999961853,6.545,6.485
33,Singapore,SGP,6.2620000000000005,6.343,6.57200002670288,6.739,6.797999999999999
34,El Salvador,SLV,6.252999999999999,6.167000000000001,6.002999782562259,6.068,6.13
35,Italy,ITA,6.223,6.0,5.96400022506714,5.977,5.9479999999999995
36,Bahrain,BHR,6.199,6.105,6.08699989318848,6.218,5.96
37,Slovakia,SVK,6.1979999999999995,6.172999999999999,6.09800004959106,6.077999999999999,5.995
38,Trinidad and Tobago,TTO,6.192,,6.1680002212524405,6.167999999999999,6.167999999999999
39,Poland,POL,6.182,6.122999999999999,5.97300004959106,5.835,5.791
40,Uzbekistan,UZB,6.1739999999999995,6.096,5.97100019454956,5.987,6.002999999999999
41,Lithuania,LTU,6.149,5.952000000000001,5.90199995040894,5.813,5.832999999999999
42,Colombia,COL,6.125,6.26,6.35699987411499,6.481,6.477
43,Slovenia,SVN,6.117999999999999,5.9479999999999995,5.75799989700317,5.768,5.848
44,Nicaragua,NIC,6.105,6.141,6.07100009918213,5.992000000000001,5.827999999999999
45,Kosovo,XKX,6.1,5.662000000000001,5.27899980545044,5.401,5.5889999999999995
46,Argentina,ARG,6.086,6.388,6.59899997711182,6.65,6.574
47,Romania,ROU,6.07,5.945,5.824999809265139,5.528,5.124
48,Cyprus,CYP,6.046,5.7620000000000005,5.62099981307983,5.546,5.689
49,Ecuador,ECU,6.028,5.973,6.00799989700317,5.976,5.975
50,Kuwait,KWT,6.021,6.082999999999999,6.10500001907349,6.239,6.295
51,Thailand,THA,6.007999999999999,6.072,6.4239997863769505,6.474,6.455
52,Latvia,LVA,5.94,5.933,5.849999904632571,5.56,5.098
53,South Korea,KOR,5.895,5.875,5.837999820709231,5.835,5.984
54,Estonia,EST,5.893,5.739,5.61100006103516,5.517,5.428999999999999
55,Jamaica,JAM,5.89,5.89,5.31099987030029,5.51,5.709
56,Mauritius,MUS,5.888,5.891,5.62900018692017,5.648,5.477
57,Japan,JPN,5.886,5.915,5.92000007629395,5.921,5.987
58,Honduras,HND,5.86,5.504,5.1810002326965305,4.871,4.788
59,Kazakhstan,KAZ,5.809,5.79,5.8189997673034695,5.919,5.855
60,Bolivia,BOL,5.779,5.752000000000001,5.82299995422363,5.822,5.89
61,Hungary,HUN,5.757999999999999,5.62,5.32399988174438,5.145,4.8
62,Paraguay,PRY,5.742999999999999,5.681,5.493000030517581,5.537999999999999,5.877999999999999
64,Peru,PER,5.697,5.662999999999999,5.71500015258789,5.742999999999999,5.824
65,Portugal,PRT,5.693,5.41,5.19500017166138,5.122999999999999,5.102
66,Pakistan,PAK,5.653,5.472,5.26900005340576,5.132000000000001,5.194
67,Russia,RUS,5.648,5.81,5.962999820709231,5.856,5.716
68,Philippines,PHL,5.631,5.524,5.42999982833862,5.279,5.073
69,Serbia,SRB,5.603,5.398,5.39499998092651,5.1770000000000005,5.122999999999999
70,Moldova,MDA,5.529,5.64,5.837999820709231,5.897,5.888999999999999
71,Libya,LBY,5.525,5.566,5.525000095367429,5.615,5.754
72,Montenegro,MNE,5.523,5.347,5.23699998855591,5.1610000000000005,5.192
73,Tajikistan,TJK,5.4670000000000005,5.199,5.04099988937378,4.996,4.7860000000000005
74,Croatia,HRV,5.432,5.321000000000001,5.2930002212524405,5.4879999999999995,5.7589999999999995
75,Hong Kong,HKG,5.43,5.43,,5.457999999999999,5.474
76,Dominican Republic,DOM,5.425,5.3020000000000005,5.230000019073491,5.155,4.885
77,Bosnia and Herzegovina,BIH,5.386,5.129,5.18200016021729,5.162999999999999,4.949
78,Turkey,TUR,5.372999999999999,5.483,5.5,5.388999999999999,5.332000000000001
79,Malaysia,MYS,5.3389999999999995,6.322,6.08400011062622,6.005,5.77
80,Belarus,BLR,5.3229999999999995,5.483,5.5689997673034695,5.8020000000000005,5.813
81,Greece,GRC,5.287000000000001,5.358,5.2270002365112305,5.033,4.857
82,Mongolia,MNG,5.285,5.125,4.95499992370605,4.907,4.874
84,Nigeria,NGA,5.265,5.155,5.07399988174438,4.875,5.268
85,Kyrgyzstan,KGZ,5.261,5.131,5.0040001869201705,5.185,5.2860000000000005
86,Turkmenistan,TKM,5.247000000000001,5.636,5.82200002670288,5.6579999999999995,5.547999999999999
87,Algeria,DZA,5.211,5.295,5.872000217437741,6.355,5.605
88,Morocco,MAR,5.207999999999999,5.254,5.2350001335144,5.151,5.013
89,Azerbaijan,AZE,5.207999999999999,5.2010000000000005,5.234000205993651,5.291,5.212000000000001
90,Lebanon,LBN,5.197,5.358,5.22499990463257,5.129,4.8389999999999995
91,Indonesia,IDN,5.192,5.093,5.26200008392334,5.314,5.399
92,China,CHN,5.191,5.246,5.2729997634887695,5.245,5.14
93,Vietnam,VNM,5.175,5.103,5.07399988174438,5.061,5.36
94,Bhutan,BTN,5.082,5.082,5.01100015640259,5.196000000000001,5.252999999999999
95,Cameroon,CMR,5.044,4.975,4.69500017166138,4.513,4.252
96,Bulgaria,BGR,5.011,4.933,4.71400022506714,4.217,4.218
97,Ghana,GHA,4.996,4.657,4.11999988555908,4.276,4.633
98,Ivory Coast,CIV,4.944,4.671,4.17999982833862,3.9160000000000004,3.655
99,Nepal,NPL,4.913,4.88,4.961999893188481,4.793,4.513999999999999
100,Jordan,JOR,4.906000000000001,5.1610000000000005,5.33599996566772,5.303,5.192
101,Benin,BEN,4.883,4.141,3.65700006484985,3.484,3.34
102,Congo (Brazzaville),COG,4.812,4.559,4.29099988937378,4.236000000000001,3.989
103,Gabon,GAB,4.7989999999999995,4.758,4.46500015258789,4.121,3.8960000000000004
104,Laos,LAO,4.796,4.623,,4.876,4.876
105,South Africa,ZAF,4.7219999999999995,4.724,4.8289999961853,4.459,4.6419999999999995
106,Albania,ALB,4.718999999999999,4.586,4.64400005340576,4.655,4.959
107,Venezuela,VEN,4.707,4.806,5.25,6.084,6.81
108,Cambodia,KHM,4.7,4.433,4.1680002212524405,3.907,3.819
109,Palestinian Territories,PSE,4.696000000000001,4.743,4.77500009536743,4.754,4.715
110,Senegal,SEN,4.681,4.631,4.53499984741211,4.218999999999999,3.904
111,Somalia,SOM,4.668,4.982,5.151000022888179,5.44,
112,Namibia,NAM,4.638999999999999,4.441,4.57399988174438,4.574,
113,Niger,NER,4.628,4.166,4.02799987792969,3.8560000000000003,3.845
114,Burkina Faso,BFA,4.587,4.4239999999999995,4.03200006484985,3.739,3.5869999999999997
115,Armenia,ARM,4.559,4.321000000000001,4.37599992752075,4.36,4.35
116,Iran,IRN,4.548,4.707,4.69199991226196,4.813,4.686
117,Guinea,GIN,4.534,3.964,3.50699996948242,3.6069999999999998,3.656
118,Georgia,GEO,4.519,4.34,4.28599977493286,4.252,4.297
120,Kenya,KEN,4.5089999999999995,4.41,4.55299997329712,4.356,4.419
121,Mauritania,MRT,4.49,4.356,4.29199981689453,4.2010000000000005,4.436
122,Mozambique,MOZ,4.466,4.417,4.550000190734861,,4.971
123,Tunisia,TUN,4.461,4.592,4.80499982833862,5.045,4.739
124,Bangladesh,BGD,4.456,4.5,4.60799980163574,4.643,4.694
125,Iraq,IRQ,4.437,4.456,4.49700021743774,4.575,4.677
126,Congo (Kinshasa),COD,4.418,4.245,4.2800002098083505,4.272,4.5169999999999995
127,Mali,MLI,4.39,4.447,4.19000005722046,4.073,3.995
128,Sierra Leone,SLE,4.374,4.571000000000001,4.70900011062622,4.635,4.507
129,Sri Lanka,LKA,4.3660000000000005,4.471,4.44000005722046,4.415,4.271
130,Myanmar,MMR,4.36,4.308,4.54500007629395,4.395,4.3069999999999995
131,Chad,TCD,4.35,4.301,3.9360001087188703,3.763,3.667
132,Ukraine,UKR,4.332,4.103,4.09600019454956,4.324,4.681
133,Ethiopia,ETH,4.2860000000000005,4.35,4.46000003814697,4.508,4.512
134,Swaziland,SWZ,4.212,,,,4.867
135,Uganda,UGA,4.189,4.1610000000000005,4.08099985122681,3.739,3.931
136,Egypt,EGY,4.166,4.419,4.7350001335144,4.362,4.194
137,Zambia,ZMB,4.107,4.377,4.513999938964839,4.795,5.129
138,Togo,TGO,4.085,3.9989999999999997,3.4949998855590803,3.303,2.839
139,India,IND,4.015,4.19,4.31500005722046,4.404,4.565
140,Liberia,LBR,3.975,3.495,3.5329999923706095,3.622,4.571000000000001
141,Comoros,COM,3.9730000000000003,,,3.9560000000000004,3.9560000000000004
142,Madagascar,MDG,3.9330000000000003,3.7739999999999996,3.64400005340576,3.695,3.681
143,Lesotho,LSO,3.802,3.8080000000000003,3.80800008773804,,4.898
144,Burundi,BDI,3.775,2.905,2.90499997138977,2.905,2.905
145,Zimbabwe,ZWE,3.6630000000000003,3.6919999999999997,3.875,4.1930000000000005,4.61
146,Haiti,HTI,3.597,3.582,3.6029999256133998,4.0280000000000005,4.518
147,Botswana,BWA,3.488,3.59,3.7660000324249303,3.9739999999999998,4.332
148,Syria,SYR,3.4619999999999997,3.4619999999999997,3.46199989318848,3.069,3.0060000000000002
149,Malawi,MWI,3.41,3.5869999999999997,3.97000002861023,4.156000000000001,4.292
150,Yemen,YEM,3.38,3.355,3.59299993515015,3.7239999999999998,4.077
151,Rwanda,RWA,3.3339999999999996,3.408,3.47099995613098,3.515,3.465
152,Tanzania,TZA,3.2310000000000003,3.303,3.34899997711182,3.6660000000000004,3.781
153,Afghanistan,AFG,3.2030000000000003,3.6319999999999997,3.7939999103546103,3.36,3.575
154,Central African Republic,CAF,3.083,3.083,2.69300007820129,,3.678
155,South Sudan,SDN,2.853,3.2539999999999996,3.5910000801086404,3.832,
